tile,cycles
869,25264
870,44826
871,193249
872,273066
873,118581
874,36476
875,105481
876,428520
877,42929
878,111909
879,26285
880,101220
881,23708
882,52906
883,31994
884,50446
885,181830
886,123704
887,24896
888,24412
889,108962
890,32707
891,61809
892,32715
893,39782
894,174978
895,40380
896,131396
897,67231
898,57156
899,173805
900,22668
901,115017
902,238474
903,56411
904,141042
905,57165
906,67889
907,87779
908,76494
909,76053
910,41665
911,23246
912,49715
913,41389
914,455019
915,21781
916,170070
917,54327
918,604648
919,169540
920,265115
921,407465
922,57849
923,27225
924,36442
925,67399
926,45536
927,185894
928,34252
929,213725
930,34343
931,60834
932,94853
933,194857
934,399313
935,88312
936,92206
937,139826
938,70935
939,599718
940,32894
941,53150
942,99708
943,189701
944,616991
945,39567
946,87098
947,609665
948,39346
949,50274
950,124772
951,78037
952,30656
953,49105
954,20780
955,237724
956,47712
957,57010
958,19969
959,287836
960,30083
961,77130
962,99357
963,30524
964,77040
965,96124
966,67876
967,150626
968,76922
969,37907
970,103455
971,31277
972,32803
973,22547
974,191784
975,39851
976,115480
977,34408
978,220055
979,35250
980,260687
981,91140
982,61992
983,139668
984,78956
985,178588
986,23774
987,99735
988,68532
989,77855
990,42820
991,51613
992,199367
993,74691
994,62419
995,98601
996,436560
997,52908
998,600904
999,53168
1000,613460
1001,43148
1002,62121
1003,136687
1004,52204
1005,200114
1006,251881
1007,47689
1008,125881
1009,69651
1010,59124
1011,30679
1012,279746
1013,222776
1014,133347
1015,39637
1016,58452
1017,132271
1018,127907
1019,144788
1020,118550
1021,237525
1022,57277
1023,47943
1024,27073
1025,17494
1026,75309
1027,240555
1028,412840
1029,179903
1030,139899
1031,372782
1032,126601
1033,52737
1034,368036
1035,231710
1036,52769
1037,198686
1038,394206
1039,82289
1040,63047
1041,61997
1042,142061
1043,83568
1044,34444
1045,106227
1046,135286
1047,33152
1048,104068
1049,239322
1050,21591
1051,94715
1052,132622
1053,86927
1054,29485
1055,20827
1056,48924
1057,163888
1058,206850
1059,29228
1060,107433
1061,37810
1062,335270
1063,28761
1064,132257
1065,18104
1066,585760
1067,26369
1068,55198
1069,46257
1070,212718
1071,17763
1072,35460
1073,56348
1074,44067
1075,146135
1076,24994
1077,42538
1078,42121
1079,52497
1080,27392
1081,25725
1082,101283
1083,44157
1084,69971
1085,42735
1086,42605
1087,136338
1088,163960
1089,187655
1090,39597
1091,86184
1092,75367
1093,78798
1094,39125
1095,259006
1096,40452
1097,68943
1098,239869
1099,39520
1100,135686
1101,58826
1102,54905
1103,86494
1104,195831
1105,56423
1106,102866
1107,47566
1108,587639
1109,49530
1110,176544
1111,51475
1112,131811
1113,43807
1114,32480
1115,73131
1116,209951
1117,119101
1118,279950
1119,50942
1120,135368
1121,55382
1122,601150
1123,83641
1124,24026
1125,128003
1126,218575
1127,69130
1128,184776
1129,24081
1130,24128
1131,40304
1132,39850
1133,370379
1134,106072
1135,81083
1136,41446
1137,30793
1138,416313
1139,49171
1140,152056
1141,381214
1142,86383
1143,125609
1144,155471
1145,39281
1146,41480
1147,49002
1148,21308
1149,25867
1150,53760
1151,73691
1152,39105
1153,26857
1154,97690
1155,46555
1156,26124
1157,30056
1158,123305
1159,85202
1160,58349
1161,49073
1162,32071
1163,33502
1164,23059
1165,21358
1166,39915
1167,40882
1168,32046
1169,59267
1170,194916
1171,31052
1172,99469
1173,57358
1174,30668
1175,38753
1176,89749
1177,49371
1178,20416
1179,106074
1180,97468
1181,173220
1182,330950
1183,53641
1184,36864
1185,593687
1186,203727
1187,46263
1188,274230
1189,93977
1190,19374
1191,123994
1192,64891
1193,83933
1194,134619
1195,64200
1196,37615
1197,197132
1198,18944
1199,159266
1200,46235
1201,39421
1202,43887
1203,90585
1204,101450
1205,166817
1206,296225
1207,290500
1208,65815
1209,112137
1210,94776
1211,84833
1212,38628
1213,47577
1214,96639
1215,85689
1216,78431
1217,164735
1218,28622
1219,65741
1220,123400
1221,93911
1222,35568
1223,75631
1224,58913
1225,65403
1226,46022
1227,112562
1228,18322
1229,27535
1230,84675
1231,68294
1232,77690
1233,170667
1234,137475
1235,36490
1236,48920
1237,75670
1238,144144
1239,309544
1240,47536
1241,86864
1242,489676
1243,71678
1244,133969
1245,145662
1246,72740
1247,26080
1248,35080
1249,25909
1250,54193
1251,76272
1252,138353
1253,43644
1254,157831
1255,26006
1256,33718
1257,89260
1258,32343
1259,61771
1260,145540
1261,29549
1262,87721
1263,225653
1264,48290
1265,436002
1266,66118
1267,254236
